,Subject,Gender,Age
430,178950,M,31-35
432,179245,F,31-35
433,179346,F,26-30
434,179548,F,26-30
435,179952,F,26-30
436,180129,F,26-30
438,180432,F,31-35
440,180735,F,31-35
441,180836,F,31-35
442,180937,M,36+
443,181131,F,31-35
444,181232,F,26-30
445,181636,F,31-35
446,182032,F,31-35
447,182436,F,31-35
448,182739,F,26-30
449,182840,M,31-35
450,183034,M,31-35
451,183337,F,31-35
455,185139,F,31-35
456,185341,F,22-25
457,185442,M,22-25
458,185846,M,26-30
459,185947,F,26-30
461,186141,M,31-35
463,186444,F,22-25
468,187345,F,31-35
469,187547,F,31-35
470,187850,M,22-25
473,188347,F,26-30
474,188448,F,22-25
475,188549,M,22-25
476,188751,M,26-30
477,189349,F,26-30
478,189450,M,22-25
481,190031,F,26-30
484,191033,F,26-30
486,191336,M,26-30
487,191437,F,31-35
489,191841,F,26-30
490,191942,M,26-30
491,192035,F,26-30
492,192136,M,22-25
495,192540,F,26-30
497,192843,M,26-30
498,193239,F,26-30
499,193441,M,26-30
501,194140,F,26-30
503,194645,M,26-30
504,194746,M,31-35
505,194847,F,31-35
507,195041,F,31-35
508,195445,F,26-30
509,195647,F,31-35
510,195849,M,22-25
511,195950,M,26-30
512,196144,F,31-35
513,196346,M,26-30
515,196750,F,26-30
518,197348,F,26-30
524,198249,M,26-30
525,198350,M,31-35
526,198451,M,26-30
527,198653,M,22-25
528,198855,M,26-30
529,199150,F,26-30
532,199453,M,22-25
534,199655,M,31-35
535,199958,M,31-35
536,200008,F,26-30
537,200109,F,31-35
538,200210,M,26-30
539,200311,M,31-35
541,200614,F,31-35
543,200917,F,22-25
544,201111,M,26-30
545,201414,F,22-25
546,201515,M,26-30
548,201818,F,26-30
549,202113,F,22-25
550,202719,M,22-25
552,203418,M,26-30
554,203923,F,26-30
555,204016,F,22-25
558,204319,F,26-30
559,204420,F,26-30
560,204521,F,31-35
561,204622,F,26-30
562,205119,M,31-35
563,205220,F,26-30
564,205725,F,22-25
565,205826,M,31-35
566,206222,M,26-30
572,207123,M,26-30
573,207426,M,26-30
576,208125,F,26-30
577,208226,F,22-25
578,208327,M,26-30
582,209127,F,31-35
583,209228,F,26-30
584,209329,F,31-35
587,209935,M,22-25
588,210011,M,22-25
590,210415,F,26-30
591,210617,F,31-35
593,211215,M,26-30
594,211316,F,31-35
595,211417,M,36+
598,211720,M,31-35
600,211922,F,26-30
601,212015,M,22-25
602,212116,M,26-30
603,212217,F,22-25
604,212318,F,31-35
605,212419,F,26-30
607,212823,M,22-25
610,213421,F,26-30
612,214019,F,31-35
613,214221,F,22-25
614,214423,M,22-25
615,214524,M,22-25
616,214625,F,31-35
617,214726,M,22-25
618,217126,M,22-25
619,217429,F,31-35
622,220721,M,26-30
624,221319,F,26-30
625,223929,M,31-35
626,224022,F,26-30
627,227432,M,31-35
629,228434,F,22-25
631,231928,F,26-30
632,233326,M,31-35
634,236130,F,26-30
635,237334,F,22-25
638,239944,F,31-35
639,245333,F,31-35
640,246133,F,26-30
642,248339,M,26-30
644,250427,F,31-35
645,250932,F,31-35
646,251833,M,31-35
647,255639,F,26-30
649,256540,F,22-25
650,257542,F,26-30
654,263436,F,31-35
655,268749,M,26-30
656,268850,F,22-25
657,270332,M,31-35
659,275645,M,22-25
660,280739,F,31-35
661,280941,F,26-30
663,283543,M,22-25
664,284646,M,26-30
665,285345,F,31-35
666,285446,M,31-35
668,286650,M,26-30
670,289555,F,31-35
671,290136,F,26-30
672,293748,F,31-35
673,295146,F,26-30
674,297655,F,31-35
675,298051,F,31-35
676,298455,M,22-25
677,299154,M,22-25
679,300618,M,22-25
681,303119,F,26-30
682,303624,M,31-35
683,304020,M,31-35
684,304727,F,31-35
685,305830,F,22-25
686,307127,F,31-35
687,308129,M,22-25
688,308331,M,26-30
689,309636,F,26-30
690,310621,F,31-35
691,311320,M,26-30
693,316633,F,26-30
694,316835,F,26-30
695,317332,M,26-30
696,318637,M,26-30
697,320826,F,31-35
698,321323,F,31-35
699,322224,F,31-35
703,330324,M,26-30
704,333330,F,31-35
705,334635,F,22-25
706,336841,M,26-30
707,339847,F,26-30
709,341834,M,26-30
712,346137,M,26-30
713,346945,F,22-25
714,348545,M,22-25
717,351938,F,22-25
718,352132,M,26-30
720,353740,M,22-25
727,358144,F,26-30
729,361234,F,31-35
732,365343,F,26-30
733,366042,F,26-30
734,366446,M,22-25
738,371843,F,31-35
741,377451,F,26-30
743,378857,F,31-35
744,379657,F,26-30
745,380036,M,26-30
746,381038,F,26-30
747,381543,F,22-25
752,385450,M,26-30
753,386250,M,22-25
754,387959,M,26-30
755,389357,F,26-30
756,390645,F,26-30
757,391748,F,31-35
760,393247,F,31-35
761,393550,M,26-30
763,395251,F,26-30
764,395756,F,31-35
765,395958,M,26-30
766,397154,F,26-30
767,397760,M,31-35
768,397861,M,31-35
772,406432,M,26-30
773,406836,F,31-35
774,412528,F,31-35
776,414229,M,31-35
777,415837,F,22-25
780,422632,F,22-25
781,424939,M,26-30
782,429040,F,31-35
783,432332,F,31-35
784,433839,M,26-30
786,436239,F,26-30
787,436845,F,26-30
788,441939,F,26-30
789,445543,M,26-30
791,448347,M,26-30
792,449753,M,22-25
793,453441,M,31-35
796,456346,F,22-25
798,459453,F,26-30
802,465852,F,26-30
803,467351,M,31-35
806,473952,F,31-35
808,479762,M,22-25
809,480141,F,22-25
812,481951,F,22-25
813,485757,F,31-35
814,486759,M,31-35
815,492754,F,26-30
816,495255,M,31-35
818,497865,M,26-30
819,499566,F,26-30
820,500222,F,26-30
821,506234,M,26-30
823,510326,F,26-30
826,513736,F,22-25
828,517239,M,22-25
831,519950,F,31-35
832,520228,M,22-25
834,522434,F,26-30
835,523032,M,31-35
836,524135,M,22-25
837,525541,F,26-30
838,529549,F,26-30
839,529953,M,26-30
840,530635,M,26-30
841,531536,M,31-35
843,536647,F,31-35
845,540436,M,31-35
847,541943,F,26-30
848,545345,M,31-35
849,547046,F,26-30
850,548250,M,22-25
857,553344,F,31-35
858,555348,F,31-35
859,555651,F,31-35
861,557857,M,22-25
864,559053,F,31-35
866,561242,F,22-25
867,561444,M,22-25
869,562345,F,31-35
870,562446,F,31-35
872,565452,F,22-25
873,566454,F,26-30
874,567052,M,31-35
876,567961,F,22-25
877,568963,F,31-35
880,570243,F,26-30
882,571144,M,22-25
883,571548,M,26-30
884,572045,F,31-35
885,573249,M,26-30
886,573451,M,22-25
888,576255,F,31-35
893,579867,F,31-35
894,580044,F,26-30
895,580347,F,26-30
896,580650,F,31-35
897,580751,M,22-25
898,581349,M,31-35
899,581450,M,22-25
900,583858,M,31-35
902,585256,F,31-35
904,586460,F,26-30
905,587664,F,26-30
906,588565,M,31-35
910,594156,M,26-30
911,597869,M,31-35
912,598568,M,26-30
913,599065,M,22-25
914,599469,F,31-35
915,599671,M,26-30
917,604537,M,22-25
918,609143,F,31-35
920,611938,M,22-25
922,613538,F,26-30
923,614439,F,26-30
925,615744,F,26-30
926,616645,M,22-25
927,617748,F,26-30
928,618952,M,22-25
931,622236,M,22-25
933,623844,M,26-30
934,626648,F,22-25
935,627549,F,31-35
936,627852,M,26-30
937,628248,M,26-30
941,633847,F,22-25
944,638049,F,31-35
947,645450,F,26-30
948,645551,F,22-25
950,647858,M,26-30
